name,algorithm,is_depends,coin_url,github_link,miners,market_cap,volume,circulating_supply,emission
Bitcoin,ASIC - SHA256,true,https://miningpoolstats.stream/bitcoin,https://github.com/bitcoin/bitcoin,6354424,737.41B ,16.77B ,19.56M / 21M (93.1%),775 BTC ( 29.23M  )
Dogecoin,ASIC - Scrypt,true,https://miningpoolstats.stream/dogecoin,https://github.com/dogecoin/dogecoin,849566,11.58B ,836.03M ,142.04B / 142.04B (100.0%),13580000 DOGE ( 1.11M  )
Litecoin,ASIC - Scrypt,true,https://miningpoolstats.stream/litecoin,https://github.com/litecoin-project/litecoin,872229,5.13B ,198.1M ,73.93M / 84M (88.0%),3750 LTC ( 260.29K  )
Bitcoin Cash,ASIC - SHA256,false,https://miningpoolstats.stream/bitcoincash,https://gitlab.com/bitcoin-cash-node/bitcoin-cash-node,14623,4.35B ,92.52M ,19.57M / 21M (93.2%),856.3 BCH ( 190.24K  )
Monero,CPU - RandomX Variants,false,https://miningpoolstats.stream/monero,https://github.com/monero-project/monero,17240,3.09B ,54.9M ,18.36M,432.6 XMR ( 72.84K  )
Kaspa,GPU - Various Algo,false,https://miningpoolstats.stream/kaspa,https://github.com/kaspanet/kaspad,33532,2.8B ,28.67M ,21.73B / 28.5B (76.3%),13457960 KAS ( 1.73M  )
Ethereum Classic,ASIC - Ethash,false,https://miningpoolstats.stream/ethereumclassic,https://github.com/etclabscore/core-geth,38474,2.66B ,180.15M ,144.29M / 210.7M (68.5%),20167 ETC ( 374.1K  )
Bitcoin SV,ASIC - SHA256,false,,,124,,,,
eCash,ASIC - SHA256,true,https://miningpoolstats.stream/ecash,https://github.com/Bitcoin-ABC/bitcoin-abc,1714,559.33M ,3.51M ,19.57T / 21T (93.2%),843750000 XEC ( 24.12K  )
Conflux,GPU - Various Algo,false,https://miningpoolstats.stream/conflux,https://github.com/Conflux-Chain/conflux-rust,4056,515.84M ,25.95M ,3.46B / 5.44B (63.6%),297993 CFX ( 44.43K  )
Arweave,HDD - Proof of Capacity,false,https://miningpoolstats.stream/arweave,https://github.com/ArweaveTeam/arweave,90,,,65.45M / 66M (99.2%),?
